S/N,Company Name,Company Reg. No.,To Emails,CC Emails,BCC Emails,Addressee,Year End,Year,AGM Done,GST Required,GST Done,Audit Required,Audit Done,Income Tax Done
27,DNA BLOCKCHAIN TECHNOLOGIES (S) PTE. LTD.,201829147W,,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28,Dr Hair Studio Pte Ltd,"
201706909R",joresarpo@gmail.com,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
29,ESATTA PTE. LTD.,201632704W,jason.yeoh@esatta.co,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,FliteSchool Singapore,201904940D,nick.gilbert@bigpond.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
31,Fountain Education Pte Ltd,201801596C,danielliao@cdlcq.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32,Global Urban Management Pte Ltd,201328663W,billy@gum.com.sg,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
33,HANS IM GLUCK H4 PTE. LTD,201824661H,"m.basile@hig-burgergrill.sg, finance@hig-burgergrill.sg",,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
34,HANS IM GLUCK H3 PTE. LTD. ,201730469R,"m.basile@hig-burgergrill.sg, finance@hig-burgergrill.sg",,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
35,HANS IM GLUCK H2 PTE. LTD. ,201724732M,"m.basile@hig-burgergrill.sg, finance@hig-burgergrill.sg",,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,HANS IM GLUCK SG PTE. LTD. ,201629020N,"m.basile@hig-burgergrill.sg, finance@hig-burgergrill.sg",,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
37,Heng Yao Engineering Pte Ltd,201540562E,331028836@qq.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
38,HESED HOUSE PTE. LTD.,201824725R,,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
39,Hung Wan Construction Pte Ltd,201713249N,331028836@qq.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40,iCarChain Technology Pte Ltd,"
201821617C",,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
41,IPC Eduction Asia Pte Ltd,201204719H,jeremy@internationalpreschoolcurriculum.com.sg,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
42,Jia Cheng Services Pte Ltd,201611906R,331028836@qq.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
43,KiteWing International Trade Private Limited,"
201728524W",,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
44,Luminaire AI Pte Ltd,201827848W,HAN012@e.ntu.edu.sg,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
45,Merc Design & Construction Pte Ltd (Dormant),199802330G,queenkim2468@gmail.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
46,MINE INITIATIVES INTERNATIONAL CONSULTANTS PTE. LTD.,201823105G,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
47,M&T,201719074G,,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
48,Montessori Stangee Pte Ltd,201412440W,huihuisim@yahoo.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
49,Little Sage International Preschool Pte Ltd (My Little Treasure International PreSchool Pte Ltd),201400075C,xiemisc@gmail.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
50,New Yu Trade Pte Ltd,201706754R,331028836@qq.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
51,Nowple Pte Ltd,201841470H,331028836@qq.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
52,Platinum Global Capital (Osmosis Home Pte Ltd),200504265C,billy@osmosishome.com,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
53,OWL Kidz Pte Ltd,201814836R,,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
54,Pensin Investments Pte Ltd,198402748E,teikkee@gmail.com,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
55,PRINTONE IMAGING PTE. LIMITED,201903246K,ebonghor@hotmail.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
56,RedDot Academy Pte Ltd,201612336D,teikkee@gmail.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
57,Revologic Pte Ltd,201828175W,,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
58,Run Wei International Pte Ltd,"
201825678N",,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
59,Sage International Education Holdings Pte Ltd ,201831730D,xiemisc@gmail.com,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,San Huan International Pte Ltd,200801529Z,,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
61,Sargeant-Lee Group Holdings Pte Ltd,201115327M,honey@leestaiwanese.com,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
62,Sargeant-Lee Holdings (Int'l) Pte Ltd,200101077D,honey@leestaiwanese.com,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
63,Shang Properties Pte Ltd,198204489H,,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,"SINGAPORE XINKAI ENGINEERING CO., PTE. LTD.",201417637M,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
65,Skai Assets Pte Ltd (Re-minders),"
201726697C",barbara@skainom.net,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,Skainom Pte Ltd,201726690E,barbara@skainom.net,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
67,Smart Kids Educare LLP,T07LL1578B,,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,Sparkz & Twinklez Pte Ltd,"
201815039H",,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
69,Spirits Connection (Eat Mo Betta Pte Ltd),200009928H,honey@leestaiwanese.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
70,SUNNYU.HOUSE PTE LTD,201506362C,331028836@qq.com,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
71,Tai Thai Pte Ltd,200917157W,honey@leestaiwanese.com,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,Tegasus Pte Ltd,201902228K,ivan_lee@sutd.edu.sg,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
73,The Set Consult Pte Ltd,201620890M,,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
74,THEBLACKZERO Pte Ltd,201803068E,ivan_lee@sutd.edu.sg,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
75,TJ Capital Venture Pte Ltd,"
201619172R",derrentjteoh@gmail.com,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
76,UBIN FIRST STOP RESTAURANT (CHANGI) PTE. LTD.,200805683K,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
77,UNOIA PTE LTD,"
201716442R",331028836@qq.com,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
78,Xplorer Event,201836971R,,,,Harry,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
79,YMD GLOBAL LOGISTICS PTE. LTD.,201720904z,,,,Tom,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
80,Zag Osmosis International Pte Ltd,"

201512266D",billy@gum.com.sg,,,Dick,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
81,Bacten Pte Ltd (Anchor of Life Training Consultants Pte Ltd),201438361N,jason@skainom.net,,,Harry,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
82,TSS,201537860D,,,,Tom,3,2019,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
83,OAM,201308994N,,,,Dick,3,2019,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
